Drug	DILI.severity.category	log10.cmax	Spher	BSEP	THP1	Glu	Gal	Glu.Gal	ClogP	dili.sev	BA	cols
Acetaminophen	3	2.21849452232081	250	1000	250	198.8	198.8	1	0.5	2	1	darkgoldenrod
Acetylsalicylic acid	3	3.04537162252191	250	1000	250	250	250	1	1	2	-1	darkgoldenrod
Acyclovir	3	1.42488163663107	250	130.2	250	250	250	1	-2.4	2	1	darkgoldenrod
Albuterol	5	-1.07793267226666	125.21	1000	250	250	250	1	0.1	1	-1	green4
Alendronate	5	-1.69740372615369	250	1000	250	250	250	1	-5.6	1	-1	green4
Ambrisentan	5	0.481442628502305	250	754.1	250	250	250	1	3.8	1	-1	green4
Aminopyrine	3	2.21562674056541	250	1000	250	250	250	1	3.7	2	1	darkgoldenrod
Amiodarone	1	0.721710521875396	12.5	145.9	28.39	113.8	68.5	1.7	8.9	3	-1	firebrick
Amlodipine	3	-1.35631912224726	11.23	161.7	46.32	20.2	22.4	0.9	3.4	2	1	darkgoldenrod
Amodiaquine	2	-0.852309169638153	19.34	286.2	250	250	250	1	5.5	2	1	darkgoldenrod
Benoxaprofen	1	2.219365905296	194.55	228.9	250	250	193.2	1.3	3.8	3	1	firebrick
Benzbromarone	1	1.37255220882513	8.57	14.1	250	195	107.1	1.8	6	3	1	firebrick
Benztropine	5	-0.232473739980378	13.42	820.7	0.01	109.8	48.6	2.3	3.5	1	-1	green4
Biperiden	5	-0.49340227929133	68.48	664.4	250	250	250	1	4.9	1	-1	green4
Bosentan	1	0.871148565874245	13.15	42.8	250	250	250	1	4.2	3	1	firebrick
Bromfenac	1	1.1572867752195	250	177.2	250	250	250	1	3.3	3	1	firebrick
Bumetanide	4	-1.07163893878792	75.04	819.8	250	250	250	1	3.4	1	-1	green4
Buspirone	4	-1.98396438644463	196.6	140.3	250	250	197.8	1.3	2.2	1	1	green4
Captopril	2	0.631443208590282	250	1000	250	250	250	1	0.9	2	1	darkgoldenrod
Carbamazepine	2	1.70577450801323	250	1000	159.47	247.8	238.4	1	2.4	2	1	darkgoldenrod
Celecoxib	2	0.405682372548253	35.25	41.4	177.31	37	13	2.8	4.4	2	1	darkgoldenrod
Chlorpromazine	3	0.195369962444283	6.48	208	42.8	36.6	33	1.1	5.3	2	1	darkgoldenrod
Clomipramine	3	-0.100166433381869	10.74	248.4	46.38	26.9	30.3	0.9	5.9	2	1	darkgoldenrod
Clozapine	2	0.388777377503169	17.49	140.9	3.6	138.6	140.6	1	3.7	2	1	darkgoldenrod
Cycloserine	4	2.52249571326191	245.65	1000	250	250	250	1	-1.2	1	-1	green4
Dantrolene	1	0.897627091290441	208.89	144.2	250	250	250	1	1.6	3	1	firebrick
Desipramine	3	0.273466739786454	14.52	1000	250	49	45	1.1	4.5	2	1	darkgoldenrod
Dexamethasone	4	-0.649312726943089	250	318.1	250	250	249.5	1	1.8	1	1	green4
Diclofenac	2	1.00561100375871	177.64	149.9	250	250	250	1	4.7	2	1	darkgoldenrod
Entacapone	4	0.515287421059109	13.97	173.9	203.27	250	134	1.9	1.8	1	-1	green4
Ethotoin	4	2.56494172605281	116.78	1000	250	250	250	1	1.5	1	-1	green4
Ezetimibe	3	-0.712906474082648	16.85	26.9	242.62	250	154.2	1.6	4	2	-1	darkgoldenrod
Felbamate	1	2.60070892487387	250	1000	250	250	250	1	0.5	3	1	firebrick
Felodipine	4	-1.50543715232043	9.98	17.2	34.22	190.9	93.7	2	5.3	1	-1	green4
Fenclozic Acid	1	2.69605007787367	250	1000	250	250	250	1	2.6	3	1	firebrick
Flavoxate	5	0.252410648350042	250	73.9	250	250	250	1	5	1	-1	green4
Flucloxacillin	2	1.82018977713547	250	0.6	250	250	250	1	2.7	2	1	darkgoldenrod
Fludarabine	4	-0.769453462748194	2.71	1000	9.1	250	158.6	1.6	-2	1	-1	green4
Flumazenil	5	0.0496236980072488	250	1000	25	250	250	1	1.3	1	-1	green4
Fluoxetine	3	-1.31432514789834	12.66	449.5	5.96	22.9	23.6	1	4.6	2	1	darkgoldenrod
Flutamide	1	0.734848707761894	55.95	133.1	250	241.1	123.9	1.9	3.3	3	1	firebrick
Furazolidone	3	0.178987677110447	61.79	100	250	191.8	38.7	5	0	2	1	darkgoldenrod
Guanethidine	5	-1.29734461065601	250	1000	250	250	250	1	1.4	1	-1	green4
Ibufenac	1	2.24067402762031	250	1000	250	250	250	1	3.4	3	1	firebrick
Ibuprofen	3	2.16266413196501	250	264.9	250	146.2	241.9	0.6	3.7	2	1	darkgoldenrod
Imipramine	2	-0.271702238273964	9.94	770.5	88.93	92.1	83.3	1.1	5	2	1	darkgoldenrod
Indomethacin	2	0.923493056559054	250	182.4	1.74	250	250	1	4.2	2	1	darkgoldenrod
Indoramin	5	-0.54090481466132	51.34	544.9	250	250	250	1	2.8	1	-1	green4
Itraconazole	2	0.452452958993422	70.09	3.4	250	250	87.3	2.9	6	2	-1	darkgoldenrod
Ketoconazole	1	1.05270434101838	14.25	4.1	35.12	224.6	154.4	1.5	3.6	3	1	firebrick
Lapatinib	1	1.27920263494865	250	4.1	34.73	28.7	9.2	3.1	6	3	1	firebrick
